Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9125;-0.2812;11.3850;;;
0.020;1.8500;-0.4625;11.1960;;;
0.030;2.8000;-0.6000;10.6560;;;
0.040;3.7500;-0.7313;9.8640;;;
0.050;4.7125;-0.8375;8.8560;;;
0.060;5.6500;-0.8750;7.6680;;;
0.070;6.5625;-0.8438;6.3180;;;
0.080;7.4250;-0.7812;4.8330;;;
0.090;8.2250;-0.7375;3.2580;;;
0.100;8.9750;-0.7000;1.6650;;;
0.110;9.6750;-0.6375;0.1080;;;
0.120;10.3125;-0.5500;-1.3590;;;
0.130;10.9125;-0.4813;-2.7090;;;
0.140;11.4500;-0.4625;-3.9420;;;
0.150;11.9500;-0.5000;-5.0310;;;
0.160;12.4125;-0.5687;-5.9760;;;
0.170;12.8375;-0.6250;-6.8220;;;
0.180;13.2250;-0.6625;-7.5690;;;
0.190;13.5875;-0.6875;-8.2530;;;
0.200;13.9375;-0.7063;-8.8560;;;
0.210;14.2500;-0.7250;-9.4050;;;
0.220;14.5500;-0.7500;-9.8820;;;
0.230;14.8375;-0.7750;-10.3050;;;
0.240;15.1000;-0.8063;-10.6830;;;
0.250;15.3625;-0.8313;-11.0070;;;
0.260;15.6125;-0.8625;-11.3040;;;
0.270;15.8750;-0.8813;-11.5830;;;
0.280;16.1250;-0.8938;-11.8710;;;
0.290;16.3625;-0.9000;-12.1680;;;
0.300;16.6125;-0.9188;-12.4740;;;
0.310;16.8625;-0.9500;-12.7980;;;
0.320;17.1125;-1.0000;-13.1310;;;
0.330;17.3750;-1.0437;-13.4730;;;
0.340;17.6500;-1.0750;-13.8240;;;
0.350;17.9250;-1.0875;-14.1930;;;
0.360;18.2250;-1.1000;-14.5800;;;
0.370;18.5250;-1.1188;-14.9940;;;
0.380;18.8375;-1.1625;-15.4440;;;
0.390;19.1625;-1.2250;-15.9210;;;
0.400;19.5125;-1.2750;-16.4520;;;
0.410;19.8750;-1.3000;-17.0460;;;
0.420;20.2625;-1.3000;-17.7030;;;
0.430;20.6875;-1.2938;-18.4410;;;
0.440;21.1375;-1.2875;-19.2510;;;
0.450;21.6250;-1.2938;-20.1240;;;
0.460;22.1375;-1.3125;-21.0690;;;
0.470;22.7000;-1.3500;-22.0770;;;
0.480;23.2875;-1.3938;-23.1390;;;
0.490;23.9375;-1.4438;-24.2730;;;
0.500;24.6375;-1.4813;-25.4700;;;
0.510;25.4000;-1.4938;-26.7390;;;
0.520;26.2125;-1.4938;-28.0710;;;
0.530;27.1000;-1.4688;-29.4660;;;
0.540;28.0625;-1.4313;-30.9240;;;
0.550;29.1125;-1.3813;-32.4180;;;
0.560;30.2750;-1.3063;-33.9390;;;
0.570;31.5000;-1.2125;-35.4870;;;
0.580;32.7750;-1.1438;-37.0350;;;
