Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9250;-0.2563;11.3850;;;
0.020;1.8625;-0.4250;11.2230;;;
0.030;2.7875;-0.5750;10.7460;;;
0.040;3.7250;-0.7188;10.0260;;;
0.050;4.6625;-0.8313;9.1080;;;
0.060;5.6000;-0.8625;8.0100;;;
0.070;6.5000;-0.8125;6.7680;;;
0.080;7.3625;-0.6938;5.3910;;;
0.090;8.1625;-0.6000;3.9150;;;
0.100;8.9125;-0.5563;2.3940;;;
0.110;9.6250;-0.5250;0.8910;;;
0.120;10.2750;-0.4875;-0.5490;;;
0.130;10.8875;-0.4438;-1.9080;;;
0.140;11.4500;-0.4125;-3.1590;;;
0.150;11.9750;-0.4188;-4.2840;;;
0.160;12.4500;-0.4375;-5.2830;;;
0.170;12.9000;-0.4688;-6.1650;;;
0.180;13.3000;-0.4875;-6.9480;;;
0.190;13.6875;-0.5000;-7.6590;;;
0.200;14.0375;-0.5188;-8.2980;;;
0.210;14.3750;-0.5500;-8.8740;;;
0.220;14.6875;-0.5750;-9.3870;;;
0.230;14.9750;-0.6000;-9.8550;;;
0.240;15.2625;-0.6125;-10.2600;;;
0.250;15.5250;-0.6188;-10.6200;;;
0.260;15.7875;-0.6250;-10.9440;;;
0.270;16.0375;-0.6375;-11.2320;;;
0.280;16.2875;-0.6562;-11.5020;;;
0.290;16.5375;-0.6750;-11.7630;;;
0.300;16.7750;-0.6875;-12.0510;;;
0.310;17.0250;-0.6938;-12.3390;;;
0.320;17.2625;-0.7000;-12.6450;;;
0.330;17.5125;-0.7125;-12.9510;;;
0.340;17.7750;-0.7375;-13.2750;;;
0.350;18.0375;-0.7625;-13.5990;;;
0.360;18.3000;-0.7812;-13.9410;;;
0.370;18.5750;-0.7938;-14.3010;;;
0.380;18.8750;-0.8125;-14.6790;;;
0.390;19.1750;-0.8313;-15.0750;;;
0.400;19.4875;-0.8625;-15.5070;;;
0.410;19.8125;-0.8938;-15.9750;;;
0.420;20.1500;-0.9250;-16.4880;;;
0.430;20.5000;-0.9438;-17.0460;;;
0.440;20.8875;-0.9625;-17.6760;;;
0.450;21.2875;-0.9875;-18.3690;;;
0.460;21.7125;-1.0188;-19.1340;;;
0.470;22.1750;-1.0563;-19.9620;;;
0.480;22.6750;-1.0813;-20.8530;;;
0.490;23.2125;-1.1000;-21.7890;;;
0.500;23.7875;-1.1188;-22.7880;;;
0.510;24.4000;-1.1375;-23.8500;;;
0.520;25.0625;-1.1625;-24.9660;;;
0.530;25.7750;-1.1875;-26.1450;;;
0.540;26.5500;-1.2000;-27.3870;;;
0.550;27.3750;-1.1938;-28.6920;;;
0.560;28.2625;-1.1750;-30.0420;;;
0.570;29.2500;-1.1375;-31.4460;;;
0.580;30.3125;-1.0813;-32.8860;;;
0.590;31.4875;-0.9938;-34.3440;;;
0.600;32.7375;-0.9000;-35.8200;;;
0.610;34.0125;-0.8313;-37.2960;;;
