Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9250;-0.2625;11.3850;;;
0.020;1.8625;-0.4375;11.2230;;;
0.030;2.7875;-0.5750;10.7280;;;
0.040;3.7375;-0.7188;9.9900;;;
0.050;4.6750;-0.8313;9.0540;;;
0.060;5.6000;-0.8688;7.9470;;;
0.070;6.5125;-0.8125;6.6780;;;
0.080;7.3750;-0.7125;5.2830;;;
0.090;8.1750;-0.6250;3.7800;;;
0.100;8.9250;-0.5875;2.2410;;;
0.110;9.6375;-0.5500;0.7290;;;
0.120;10.2875;-0.5062;-0.7200;;;
0.130;10.8875;-0.4500;-2.0790;;;
0.140;11.4500;-0.4250;-3.3210;;;
0.150;11.9625;-0.4313;-4.4460;;;
0.160;12.4500;-0.4625;-5.4360;;;
0.170;12.8875;-0.5000;-6.3000;;;
0.180;13.2875;-0.5250;-7.0830;;;
0.190;13.6625;-0.5438;-7.7850;;;
0.200;14.0125;-0.5625;-8.4150;;;
0.210;14.3500;-0.5875;-8.9820;;;
0.220;14.6625;-0.6188;-9.4950;;;
0.230;14.9500;-0.6375;-9.9540;;;
0.240;15.2250;-0.6500;-10.3500;;;
0.250;15.5000;-0.6625;-10.7100;;;
0.260;15.7500;-0.6750;-11.0250;;;
0.270;16.0125;-0.6938;-11.3040;;;
0.280;16.2625;-0.7125;-11.5740;;;
0.290;16.5000;-0.7313;-11.8440;;;
0.300;16.7500;-0.7375;-12.1320;;;
0.310;16.9875;-0.7438;-12.4290;;;
0.320;17.2375;-0.7563;-12.7440;;;
0.330;17.4875;-0.7812;-13.0590;;;
0.340;17.7500;-0.8063;-13.3830;;;
0.350;18.0125;-0.8375;-13.7160;;;
0.360;18.2875;-0.8563;-14.0670;;;
0.370;18.5625;-0.8688;-14.4360;;;
0.380;18.8625;-0.8813;-14.8230;;;
0.390;19.1750;-0.9125;-15.2370;;;
0.400;19.4875;-0.9500;-15.6870;;;
0.410;19.8125;-0.9875;-16.1820;;;
0.420;20.1625;-1.0125;-16.7130;;;
0.430;20.5375;-1.0312;-17.3070;;;
0.440;20.9250;-1.0500;-17.9730;;;
0.450;21.3375;-1.0688;-18.7020;;;
0.460;21.7875;-1.0938;-19.5120;;;
0.470;22.2750;-1.1188;-20.3760;;;
0.480;22.7875;-1.1438;-21.2940;;;
0.490;23.3500;-1.1625;-22.2750;;;
0.500;23.9375;-1.1938;-23.3190;;;
0.510;24.5875;-1.2188;-24.4170;;;
0.520;25.2750;-1.2500;-25.5780;;;
0.530;26.0250;-1.2625;-26.8020;;;
0.540;26.8250;-1.2625;-28.0890;;;
0.550;27.7000;-1.2500;-29.4300;;;
0.560;28.6375;-1.2188;-30.8250;;;
0.570;29.6750;-1.1687;-32.2650;;;
0.580;30.8000;-1.1000;-33.7320;;;
0.590;32.0250;-1.0063;-35.2170;;;
0.600;33.2875;-0.9250;-36.7110;;;
