Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9375;-0.2438;11.3850;;;
0.020;1.8625;-0.4062;11.2410;;;
0.030;2.7875;-0.5563;10.8000;;;
0.040;3.7125;-0.7063;10.1160;;;
0.050;4.6375;-0.8375;9.2430;;;
0.060;5.5625;-0.8625;8.2080;;;
0.070;6.4625;-0.8063;7.0290;;;
0.080;7.3125;-0.6562;5.7150;;;
0.090;8.1250;-0.5250;4.2930;;;
0.100;8.8750;-0.4500;2.8260;;;
0.110;9.5875;-0.4250;1.3500;;;
0.120;10.2500;-0.4125;-0.0720;;;
0.130;10.8625;-0.4000;-1.4310;;;
0.140;11.4375;-0.3813;-2.6820;;;
0.150;11.9625;-0.3813;-3.8250;;;
0.160;12.4625;-0.3813;-4.8510;;;
0.170;12.9125;-0.3875;-5.7600;;;
0.180;13.3375;-0.3875;-6.5610;;;
0.190;13.7250;-0.3875;-7.2900;;;
0.200;14.0875;-0.4000;-7.9470;;;
0.210;14.4250;-0.4188;-8.5410;;;
0.220;14.7500;-0.4563;-9.0810;;;
0.230;15.0500;-0.4875;-9.5580;;;
0.240;15.3375;-0.5000;-9.9900;;;
0.250;15.6125;-0.5000;-10.3770;;;
0.260;15.8750;-0.4938;-10.7190;;;
0.270;16.1375;-0.4875;-11.0160;;;
0.280;16.3875;-0.4938;-11.2950;;;
0.290;16.6250;-0.5125;-11.5470;;;
0.300;16.8625;-0.5312;-11.8080;;;
0.310;17.1125;-0.5375;-12.0870;;;
0.320;17.3500;-0.5438;-12.3750;;;
0.330;17.5875;-0.5375;-12.6630;;;
0.340;17.8375;-0.5312;-12.9690;;;
0.350;18.1000;-0.5375;-13.2840;;;
0.360;18.3500;-0.5563;-13.5990;;;
0.370;18.6250;-0.5687;-13.9320;;;
0.380;18.8875;-0.5875;-14.2740;;;
0.390;19.1750;-0.6063;-14.6430;;;
0.400;19.4750;-0.6250;-15.0300;;;
0.410;19.7750;-0.6438;-15.4440;;;
0.420;20.1000;-0.6625;-15.8940;;;
0.430;20.4375;-0.6750;-16.3800;;;
0.440;20.7875;-0.6938;-16.9110;;;
0.450;21.1500;-0.7188;-17.5050;;;
0.460;21.5375;-0.7625;-18.1620;;;
0.470;21.9500;-0.8125;-18.8910;;;
0.480;22.3875;-0.8688;-19.6740;;;
0.490;22.8625;-0.9062;-20.5200;;;
0.500;23.3750;-0.9250;-21.4110;;;
0.510;23.9250;-0.9250;-22.3650;;;
0.520;24.5125;-0.9313;-23.3640;;;
0.530;25.1500;-0.9438;-24.4260;;;
0.540;25.8375;-0.9563;-25.5420;;;
0.550;26.5625;-0.9750;-26.7210;;;
0.560;27.3375;-0.9813;-27.9540;;;
0.570;28.1875;-0.9813;-29.2410;;;
0.580;29.1000;-0.9563;-30.5730;;;
0.590;30.1000;-0.9188;-31.9500;;;
0.600;31.2125;-0.8500;-33.3630;;;
0.610;32.4125;-0.7625;-34.7850;;;
0.620;33.6625;-0.6625;-36.2160;;;
0.630;34.9500;-0.5938;-37.6560;;;
