Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9250;-0.2687;11.3850;;;
0.020;1.8500;-0.4438;11.2140;;;
0.030;2.7875;-0.5813;10.7100;;;
0.040;3.7375;-0.7250;9.9540;;;
0.050;4.6875;-0.8313;9.0000;;;
0.060;5.6125;-0.8688;7.8660;;;
0.070;6.5250;-0.8188;6.5790;;;
0.080;7.3875;-0.7313;5.1570;;;
0.090;8.1875;-0.6562;3.6360;;;
0.100;8.9375;-0.6188;2.0880;;;
0.110;9.6500;-0.5813;0.5580;;;
0.120;10.3000;-0.5188;-0.8910;;;
0.130;10.9000;-0.4625;-2.2500;;;
0.140;11.4500;-0.4375;-3.4920;;;
0.150;11.9625;-0.4500;-4.6080;;;
0.160;12.4375;-0.4875;-5.5890;;;
0.170;12.8750;-0.5312;-6.4440;;;
0.180;13.2750;-0.5625;-7.2180;;;
0.190;13.6500;-0.5813;-7.9110;;;
0.200;14.0000;-0.6063;-8.5410;;;
0.210;14.3250;-0.6313;-9.0990;;;
0.220;14.6375;-0.6562;-9.6030;;;
0.230;14.9250;-0.6750;-10.0530;;;
0.240;15.2000;-0.6938;-10.4490;;;
0.250;15.4625;-0.7063;-10.7910;;;
0.260;15.7250;-0.7250;-11.0970;;;
0.270;15.9750;-0.7500;-11.3850;;;
0.280;16.2250;-0.7688;-11.6550;;;
0.290;16.4625;-0.7812;-11.9340;;;
0.300;16.7125;-0.7875;-12.2220;;;
0.310;16.9500;-0.8000;-12.5280;;;
0.320;17.2000;-0.8188;-12.8430;;;
0.330;17.4625;-0.8500;-13.1670;;;
0.340;17.7250;-0.8875;-13.5000;;;
0.350;17.9875;-0.9125;-13.8420;;;
0.360;18.2625;-0.9250;-14.2020;;;
0.370;18.5500;-0.9375;-14.5800;;;
0.380;18.8625;-0.9563;-14.9850;;;
0.390;19.1625;-0.9938;-15.4170;;;
0.400;19.4875;-1.0375;-15.8850;;;
0.410;19.8250;-1.0750;-16.3980;;;
0.420;20.1875;-1.1000;-16.9650;;;
0.430;20.5625;-1.1125;-17.5950;;;
0.440;20.9750;-1.1250;-18.2970;;;
0.450;21.4125;-1.1438;-19.0710;;;
0.460;21.8750;-1.1625;-19.9170;;;
0.470;22.3875;-1.1813;-20.8170;;;
0.480;22.9250;-1.2063;-21.7800;;;
0.490;23.5000;-1.2375;-22.7970;;;
0.500;24.1125;-1.2688;-23.8770;;;
0.510;24.7875;-1.3063;-25.0200;;;
0.520;25.5125;-1.3250;-26.2260;;;
0.530;26.3000;-1.3313;-27.4950;;;
0.540;27.1375;-1.3250;-28.8270;;;
0.550;28.0500;-1.3000;-30.2220;;;
0.560;29.0500;-1.2563;-31.6620;;;
0.570;30.1375;-1.1938;-33.1290;;;
0.580;31.3250;-1.1062;-34.6230;;;
0.590;32.5875;-1.0188;-36.1260;;;
0.600;33.8625;-0.9625;-37.6380;;;
