Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9125;-0.2812;11.3850;;;
0.020;1.8500;-0.4563;11.1960;;;
0.030;2.8000;-0.5938;10.6650;;;
0.040;3.7500;-0.7313;9.8820;;;
0.050;4.7000;-0.8375;8.8830;;;
0.060;5.6500;-0.8750;7.7130;;;
0.070;6.5625;-0.8375;6.3720;;;
0.080;7.4125;-0.7688;4.8960;;;
0.090;8.2250;-0.7188;3.3390;;;
0.100;8.9750;-0.6875;1.7460;;;
0.110;9.6625;-0.6250;0.2070;;;
0.120;10.3125;-0.5438;-1.2600;;;
0.130;10.9000;-0.4750;-2.6190;;;
0.140;11.4500;-0.4563;-3.8520;;;
0.150;11.9625;-0.4875;-4.9410;;;
0.160;12.4250;-0.5500;-5.8950;;;
0.170;12.8500;-0.6063;-6.7410;;;
0.180;13.2375;-0.6438;-7.4970;;;
0.190;13.6000;-0.6625;-8.1810;;;
0.200;13.9500;-0.6813;-8.7930;;;
0.210;14.2625;-0.7063;-9.3420;;;
0.220;14.5750;-0.7313;-9.8280;;;
0.230;14.8500;-0.7563;-10.2600;;;
0.240;15.1250;-0.7812;-10.6290;;;
0.250;15.3875;-0.8063;-10.9620;;;
0.260;15.6375;-0.8313;-11.2590;;;
0.270;15.8875;-0.8563;-11.5380;;;
0.280;16.1375;-0.8688;-11.8260;;;
0.290;16.3875;-0.8813;-12.1140;;;
0.300;16.6375;-0.8938;-12.4290;;;
0.310;16.8875;-0.9188;-12.7440;;;
0.320;17.1375;-0.9625;-13.0680;;;
0.330;17.4000;-1.0063;-13.4100;;;
0.340;17.6625;-1.0375;-13.7520;;;
0.350;17.9375;-1.0563;-14.1210;;;
0.360;18.2375;-1.0625;-14.4990;;;
0.370;18.5375;-1.0813;-14.9040;;;
0.380;18.8500;-1.1188;-15.3450;;;
0.390;19.1625;-1.1750;-15.8130;;;
0.400;19.5000;-1.2250;-16.3350;;;
0.410;19.8625;-1.2563;-16.9020;;;
0.420;20.2500;-1.2625;-17.5410;;;
0.430;20.6500;-1.2625;-18.2520;;;
0.440;21.1000;-1.2625;-19.0440;;;
0.450;21.5750;-1.2625;-19.8990;;;
0.460;22.0875;-1.2812;-20.8170;;;
0.470;22.6250;-1.3125;-21.8070;;;
0.480;23.2125;-1.3500;-22.8510;;;
0.490;23.8375;-1.4000;-23.9580;;;
0.500;24.5250;-1.4375;-25.1280;;;
0.510;25.2625;-1.4625;-26.3700;;;
0.520;26.0625;-1.4625;-27.6750;;;
0.530;26.9250;-1.4438;-29.0520;;;
0.540;27.8625;-1.4125;-30.4740;;;
0.550;28.8875;-1.3688;-31.9500;;;
0.560;30.0000;-1.3000;-33.4620;;;
0.570;31.2125;-1.2125;-34.9920;;;
0.580;32.4750;-1.1313;-36.5310;;;
