Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9375;-0.2500;11.3850;;;
0.020;1.8625;-0.4125;11.2410;;;
0.030;2.7875;-0.5625;10.7820;;;
0.040;3.7250;-0.7125;10.0890;;;
0.050;4.6500;-0.8375;9.1980;;;
0.060;5.5750;-0.8625;8.1450;;;
0.070;6.4750;-0.8063;6.9480;;;
0.080;7.3250;-0.6688;5.6070;;;
0.090;8.1375;-0.5500;4.1760;;;
0.100;8.8875;-0.4875;2.6820;;;
0.110;9.6000;-0.4625;1.2060;;;
0.120;10.2625;-0.4375;-0.2250;;;
0.130;10.8750;-0.4125;-1.5840;;;
0.140;11.4375;-0.3938;-2.8350;;;
0.150;11.9625;-0.3938;-3.9780;;;
0.160;12.4625;-0.4000;-4.9950;;;
0.170;12.9125;-0.4125;-5.8950;;;
0.180;13.3250;-0.4188;-6.6870;;;
0.190;13.7125;-0.4250;-7.4070;;;
0.200;14.0750;-0.4375;-8.0640;;;
0.210;14.4125;-0.4625;-8.6490;;;
0.220;14.7250;-0.4938;-9.1800;;;
0.230;15.0250;-0.5250;-9.6570;;;
0.240;15.3125;-0.5375;-10.0800;;;
0.250;15.5875;-0.5375;-10.4580;;;
0.260;15.8500;-0.5375;-10.7910;;;
0.270;16.1000;-0.5375;-11.0880;;;
0.280;16.3500;-0.5500;-11.3580;;;
0.290;16.6000;-0.5687;-11.6190;;;
0.300;16.8375;-0.5875;-11.8890;;;
0.310;17.0750;-0.5938;-12.1680;;;
0.320;17.3250;-0.5938;-12.4560;;;
0.330;17.5625;-0.5938;-12.7620;;;
0.340;17.8125;-0.5938;-13.0680;;;
0.350;18.0750;-0.6125;-13.3830;;;
0.360;18.3375;-0.6313;-13.7070;;;
0.370;18.6125;-0.6500;-14.0490;;;
0.380;18.8875;-0.6625;-14.4000;;;
0.390;19.1750;-0.6813;-14.7780;;;
0.400;19.4750;-0.7000;-15.1740;;;
0.410;19.7875;-0.7250;-15.6060;;;
0.420;20.1125;-0.7438;-16.0740;;;
0.430;20.4500;-0.7688;-16.5870;;;
0.440;20.8125;-0.7875;-17.1450;;;
0.450;21.1875;-0.8125;-17.7750;;;
0.460;21.5875;-0.8500;-18.4590;;;
0.470;22.0125;-0.9000;-19.2240;;;
0.480;22.4750;-0.9438;-20.0430;;;
0.490;22.9750;-0.9688;-20.9160;;;
0.500;23.5000;-0.9875;-21.8430;;;
0.510;24.0750;-0.9938;-22.8240;;;
0.520;24.6875;-1.0063;-23.8680;;;
0.530;25.3375;-1.0250;-24.9660;;;
0.540;26.0500;-1.0437;-26.1180;;;
0.550;26.8125;-1.0563;-27.3330;;;
0.560;27.6250;-1.0563;-28.6110;;;
0.570;28.5000;-1.0437;-29.9340;;;
0.580;29.4750;-1.0063;-31.3110;;;
0.590;30.5250;-0.9500;-32.7150;;;
0.600;31.6875;-0.8688;-34.1460;;;
0.610;32.9250;-0.7750;-35.5860;;;
0.620;34.2000;-0.6938;-37.0350;;;
