Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9250;-0.2500;11.3850;;;
0.020;1.8625;-0.4188;11.2320;;;
0.030;2.7875;-0.5687;10.7640;;;
0.040;3.7250;-0.7125;10.0620;;;
0.050;4.6625;-0.8375;9.1530;;;
0.060;5.5875;-0.8625;8.0820;;;
0.070;6.4875;-0.8063;6.8580;;;
0.080;7.3375;-0.6813;5.5080;;;
0.090;8.1500;-0.5750;4.0500;;;
0.100;8.9000;-0.5188;2.5470;;;
0.110;9.6125;-0.4938;1.0530;;;
0.120;10.2625;-0.4625;-0.3870;;;
0.130;10.8750;-0.4313;-1.7460;;;
0.140;11.4500;-0.4062;-2.9970;;;
0.150;11.9750;-0.4062;-4.1310;;;
0.160;12.4500;-0.4188;-5.1390;;;
0.170;12.9000;-0.4375;-6.0300;;;
0.180;13.3125;-0.4563;-6.8130;;;
0.190;13.7000;-0.4625;-7.5330;;;
0.200;14.0500;-0.4813;-8.1720;;;
0.210;14.3875;-0.5062;-8.7570;;;
0.220;14.7125;-0.5375;-9.2880;;;
0.230;15.0000;-0.5625;-9.7560;;;
0.240;15.2875;-0.5750;-10.1700;;;
0.250;15.5625;-0.5750;-10.5390;;;
0.260;15.8250;-0.5813;-10.8630;;;
0.270;16.0750;-0.5875;-11.1600;;;
0.280;16.3250;-0.6063;-11.4300;;;
0.290;16.5625;-0.6250;-11.6910;;;
0.300;16.8125;-0.6375;-11.9610;;;
0.310;17.0500;-0.6438;-12.2490;;;
0.320;17.3000;-0.6438;-12.5460;;;
0.330;17.5375;-0.6500;-12.8520;;;
0.340;17.8000;-0.6625;-13.1670;;;
0.350;18.0500;-0.6813;-13.4910;;;
0.360;18.3250;-0.7063;-13.8240;;;
0.370;18.6000;-0.7250;-14.1750;;;
0.380;18.8750;-0.7375;-14.5350;;;
0.390;19.1750;-0.7563;-14.9220;;;
0.400;19.4750;-0.7812;-15.3360;;;
0.410;19.8000;-0.8063;-15.7860;;;
0.420;20.1250;-0.8313;-16.2720;;;
0.430;20.4750;-0.8563;-16.8030;;;
0.440;20.8500;-0.8750;-17.3970;;;
0.450;21.2375;-0.9000;-18.0540;;;
0.460;21.6500;-0.9375;-18.7830;;;
0.470;22.1000;-0.9813;-19.5750;;;
0.480;22.5750;-1.0125;-20.4300;;;
0.490;23.0875;-1.0312;-21.3390;;;
0.500;23.6375;-1.0500;-22.3020;;;
0.510;24.2250;-1.0625;-23.3190;;;
0.520;24.8625;-1.0813;-24.3990;;;
0.530;25.5500;-1.1062;-25.5330;;;
0.540;26.2875;-1.1250;-26.7300;;;
0.550;27.0750;-1.1250;-27.9900;;;
0.560;27.9250;-1.1188;-29.3040;;;
0.570;28.8625;-1.0938;-30.6720;;;
0.580;29.8750;-1.0500;-32.0760;;;
0.590;30.9875;-0.9813;-33.5070;;;
0.600;32.2000;-0.8875;-34.9650;;;
0.610;33.4625;-0.7938;-36.4230;;;
0.620;34.7375;-0.7375;-37.8900;;;
