Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9250;-0.2750;11.3850;;;
0.020;1.8500;-0.4500;11.2050;;;
0.030;2.8000;-0.5875;10.6920;;;
0.040;3.7375;-0.7250;9.9180;;;
0.050;4.6875;-0.8313;8.9460;;;
0.060;5.6375;-0.8688;7.7940;;;
0.070;6.5375;-0.8313;6.4800;;;
0.080;7.4000;-0.7500;5.0310;;;
0.090;8.2000;-0.6875;3.4920;;;
0.100;8.9625;-0.6562;1.9170;;;
0.110;9.6625;-0.6063;0.3870;;;
0.120;10.3000;-0.5312;-1.0710;;;
0.130;10.9000;-0.4688;-2.4300;;;
0.140;11.4500;-0.4500;-3.6720;;;
0.150;11.9625;-0.4688;-4.7700;;;
0.160;12.4250;-0.5188;-5.7420;;;
0.170;12.8625;-0.5687;-6.5880;;;
0.180;13.2625;-0.6000;-7.3530;;;
0.190;13.6250;-0.6250;-8.0460;;;
0.200;13.9750;-0.6438;-8.6670;;;
0.210;14.3000;-0.6688;-9.2160;;;
0.220;14.6000;-0.6938;-9.7110;;;
0.230;14.8875;-0.7125;-10.1520;;;
0.240;15.1625;-0.7375;-10.5390;;;
0.250;15.4250;-0.7563;-10.8810;;;
0.260;15.6750;-0.7812;-11.1780;;;
0.270;15.9375;-0.8000;-11.4570;;;
0.280;16.1875;-0.8188;-11.7360;;;
0.290;16.4250;-0.8313;-12.0240;;;
0.300;16.6750;-0.8375;-12.3210;;;
0.310;16.9250;-0.8563;-12.6360;;;
0.320;17.1750;-0.8875;-12.9510;;;
0.330;17.4250;-0.9250;-13.2840;;;
0.340;17.6875;-0.9625;-13.6260;;;
0.350;17.9625;-0.9875;-13.9770;;;
0.360;18.2500;-0.9938;-14.3460;;;
0.370;18.5500;-1.0063;-14.7420;;;
0.380;18.8500;-1.0375;-15.1560;;;
0.390;19.1625;-1.0813;-15.6060;;;
0.400;19.5000;-1.1313;-16.1010;;;
0.410;19.8500;-1.1687;-16.6410;;;
0.420;20.2125;-1.1875;-17.2440;;;
0.430;20.6125;-1.1938;-17.9100;;;
0.440;21.0250;-1.1938;-18.6480;;;
0.450;21.4875;-1.2063;-19.4670;;;
0.460;21.9750;-1.2250;-20.3490;;;
0.470;22.5000;-1.2438;-21.2940;;;
0.480;23.0625;-1.2750;-22.2930;;;
0.490;23.6625;-1.3125;-23.3550;;;
0.500;24.3125;-1.3563;-24.4800;;;
0.510;25.0125;-1.3875;-25.6680;;;
0.520;25.7750;-1.4000;-26.9280;;;
0.530;26.5875;-1.3938;-28.2420;;;
0.540;27.4750;-1.3750;-29.6280;;;
0.550;28.4500;-1.3375;-31.0590;;;
0.560;29.5000;-1.2875;-32.5350;;;
0.570;30.6500;-1.2063;-34.0380;;;
0.580;31.8875;-1.1125;-35.5500;;;
0.590;33.1625;-1.0437;-37.0800;;;
