Tiempo_sagital_apoyo;Posicion_cm_X_apoyo;Posicion_cm_Y_apoyo;Angulo_sagital apoyo;;;
0.000;0.0000;0.0000;11.1420;;;
0.010;0.9125;-0.2875;11.3850;;;
0.020;1.8500;-0.4625;11.1870;;;
0.030;2.8000;-0.6000;10.6470;;;
0.040;3.7500;-0.7313;9.8370;;;
0.050;4.7125;-0.8375;8.8200;;;
0.060;5.6625;-0.8750;7.6230;;;
0.070;6.5750;-0.8500;6.2640;;;
0.080;7.4375;-0.7938;4.7610;;;
0.090;8.2375;-0.7563;3.1680;;;
0.100;8.9875;-0.7188;1.5660;;;
0.110;9.6750;-0.6438;0.0180;;;
0.120;10.3250;-0.5500;-1.4490;;;
0.130;10.9125;-0.4813;-2.8080;;;
0.140;11.4500;-0.4688;-4.0320;;;
0.150;11.9500;-0.5125;-5.1120;;;
0.160;12.4125;-0.5875;-6.0570;;;
0.170;12.8250;-0.6438;-6.8940;;;
0.180;13.2250;-0.6813;-7.6410;;;
0.190;13.5750;-0.7063;-8.3160;;;
0.200;13.9125;-0.7250;-8.9190;;;
0.210;14.2375;-0.7438;-9.4590;;;
0.220;14.5375;-0.7688;-9.9360;;;
0.230;14.8125;-0.8000;-10.3590;;;
0.240;15.0875;-0.8313;-10.7280;;;
0.250;15.3375;-0.8625;-11.0520;;;
0.260;15.6000;-0.8875;-11.3490;;;
0.270;15.8500;-0.9062;-11.6280;;;
0.280;16.1000;-0.9188;-11.9160;;;
0.290;16.3500;-0.9250;-12.2220;;;
0.300;16.5875;-0.9500;-12.5370;;;
0.310;16.8375;-0.9875;-12.8610;;;
0.320;17.1000;-1.0375;-13.1940;;;
0.330;17.3625;-1.0813;-13.5360;;;
0.340;17.6375;-1.1125;-13.8960;;;
0.350;17.9125;-1.1250;-14.2650;;;
0.360;18.2125;-1.1313;-14.6610;;;
0.370;18.5250;-1.1625;-15.0840;;;
0.380;18.8375;-1.2125;-15.5430;;;
0.390;19.1625;-1.2688;-16.0380;;;
0.400;19.5125;-1.3188;-16.5870;;;
0.410;19.8875;-1.3375;-17.1900;;;
0.420;20.2875;-1.3375;-17.8740;;;
0.430;20.7125;-1.3188;-18.6300;;;
0.440;21.1750;-1.3188;-19.4670;;;
0.450;21.6750;-1.3188;-20.3670;;;
0.460;22.2000;-1.3438;-21.3300;;;
0.470;22.7750;-1.3875;-22.3560;;;
0.480;23.3750;-1.4375;-23.4450;;;
0.490;24.0375;-1.4875;-24.6060;;;
0.500;24.7625;-1.5188;-25.8300;;;
0.510;25.5375;-1.5250;-27.1260;;;
0.520;26.3750;-1.5188;-28.4850;;;
0.530;27.2875;-1.4875;-29.9070;;;
0.540;28.2875;-1.4438;-31.3830;;;
0.550;29.3625;-1.3875;-32.8950;;;
0.560;30.5500;-1.3063;-34.4340;;;
0.570;31.8000;-1.2125;-35.9910;;;
0.580;33.0875;-1.1687;-37.5480;;;
